Result for strategy MACDStrategy_crossed
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|    XMR/USDT |     52 |           0.08 |           4.29 |             4.296 |           0.43 |         17:27:00 |     50 |       0 |        2 |
|    XRP/USDT |     33 |           0.74 |          24.40 |            24.421 |           2.44 |  1 day, 10:18:00 |     31 |       0 |        2 |
|    XTZ/USDT |     39 |           0.86 |          33.58 |            33.618 |           3.36 |   1 day, 6:32:00 |     37 |       0 |        2 |
|    XVS/USDT |     40 |           0.16 |           6.30 |             6.310 |           0.63 |          6:09:00 |     38 |       0 |        2 |
|    YFI/USDT |     38 |           0.01 |           0.46 |             0.465 |           0.05 |   1 day, 6:46:00 |     35 |       0 |        3 |
|   YFII/USDT |     20 |          -0.16 |          -3.21 |            -3.217 |          -0.32 |          6:49:00 |     19 |       0 |        1 |
|    ZEC/USDT |     35 |           1.16 |          40.57 |            40.612 |           4.06 |         18:51:00 |     34 |       0 |        1 |
|    ZEN/USDT |     44 |           1.30 |          57.01 |            57.071 |           5.71 |         10:54:00 |     43 |       0 |        1 |
|    ZIL/USDT |     53 |          -0.46 |         -24.50 |           -24.525 |          -2.45 |         22:57:00 |     50 |       0 |        3 |
|    ZRX/USDT |     45 |           0.48 |          21.56 |            21.583 |           2.16 |          9:28:00 |     44 |       0 |        1 |
|       TOTAL |   8712 |           0.50 |        4373.36 |          4377.736 |         437.77 |         17:08:00 |   8254 |       0 |      458 |
====================================================== SELL REASON STATS =======================================================
|   Sell Reason |   Sells |   Wins |   Draws |   Losses |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------+---------+----------+----------------+----------------+-------------------+----------------|
|           roi |    8224 |   8224 |       0 |        0 |           1.26 |       10372    |         10382.4   |         414.88 |
|   sell_signal |     354 |     30 |       0 |      324 |          -6.63 |       -2346.09 |         -2348.44  |         -93.84 |
|     stop_loss |     115 |      0 |       0 |      115 |         -30.14 |       -3466.08 |         -3469.55  |        -138.64 |
|    force_sell |      19 |      0 |       0 |       19 |          -9.82 |        -186.5  |          -186.691 |          -7.46 |
=========================================================== LEFT OPEN TRADES REPORT ===========================================================
|       Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|------------+--------+----------------+----------------+-------------------+----------------+------------------+--------+---------+----------|
|  AVAX/USDT |      1 |          -4.84 |          -4.84 |            -4.844 |          -0.48 |  1 day, 16:45:00 |      0 |       0 |        1 |
|   AXS/USDT |      1 |          -8.27 |          -8.27 |            -8.281 |          -0.83 | 3 days, 17:15:00 |      0 |       0 |        1 |
|  CELR/USDT |      1 |          -3.48 |          -3.48 |            -3.485 |          -0.35 |   1 day, 0:40:00 |      0 |       0 |        1 |
|  CTXC/USDT |      1 |          -9.33 |          -9.33 |            -9.343 |          -0.93 |  1 day, 20:05:00 |      0 |       0 |        1 |
|   CVC/USDT |      1 |         -15.01 |         -15.01 |           -15.021 |          -1.50 |  1 day, 20:00:00 |      0 |       0 |        1 |
|  DUSK/USDT |      1 |         -11.53 |         -11.53 |           -11.540 |          -1.15 |  1 day, 20:05:00 |      0 |       0 |        1 |
|   ENJ/USDT |      1 |         -12.45 |         -12.45 |           -12.465 |          -1.25 | 6 days, 16:55:00 |      0 |       0 |        1 |
|  HIVE/USDT |      1 |         -19.43 |         -19.43 |           -19.453 |          -1.95 |  2 days, 3:30:00 |      0 |       0 |        1 |
|  KAVA/USDT |      1 |         -17.12 |         -17.12 |           -17.137 |          -1.71 | 3 days, 20:20:00 |      0 |       0 |        1 |
|  LUNA/USDT |      1 |         -11.03 |         -11.03 |           -11.043 |          -1.10 | 3 days, 17:10:00 |      0 |       0 |        1 |
|   MDT/USDT |      1 |          -9.87 |          -9.87 |            -9.881 |          -0.99 |  1 day, 20:35:00 |      0 |       0 |        1 |
|   MKR/USDT |      1 |          -4.65 |          -4.65 |            -4.655 |          -0.47 |  1 day, 23:20:00 |      0 |       0 |        1 |
|  NEAR/USDT |      1 |          -7.15 |          -7.15 |            -7.153 |          -0.72 |  1 day, 18:55:00 |      0 |       0 |        1 |
| OCEAN/USDT |      1 |         -13.88 |         -13.88 |           -13.893 |          -1.39 | 3 days, 21:50:00 |      0 |       0 |        1 |
|  PAXG/USDT |      1 |          -1.25 |          -1.25 |            -1.253 |          -0.13 |  4 days, 3:25:00 |      0 |       0 |        1 |
|  POND/USDT |      1 |         -10.82 |         -10.82 |           -10.829 |          -1.08 |  1 day, 19:35:00 |      0 |       0 |        1 |
|  SUSD/USDT |      1 |          -0.56 |          -0.56 |            -0.557 |          -0.06 |  6 days, 5:10:00 |      0 |       0 |        1 |
|  TOMO/USDT |      1 |         -12.74 |         -12.74 |           -12.751 |          -1.28 | 3 days, 22:40:00 |      0 |       0 |        1 |
|   WAN/USDT |      1 |         -13.09 |         -13.09 |           -13.106 |          -1.31 | 7 days, 16:25:00 |      0 |       0 |        1 |
|      TOTAL |     19 |          -9.82 |        -186.50 |          -186.691 |         -18.67 |  3 days, 5:56:00 |      0 |       0 |       19 |
=============== SUMMARY METRICS ===============
| Metric                | Value               |
|-----------------------+---------------------|
| Backtesting from      | 2020-03-26 00:00:00 |
| Backtesting to        | 2021-03-26 11:40:00 |
| Max open trades       | 25                  |
|                       |                     |
| Total trades          | 8712                |
| Starting balance      | 1000.000 USDT       |
| Final balance         | 5377.736 USDT       |
| Absolute profit       | 4377.736 USDT       |
| Total profit %        | 437.77%             |
| Trades per day        | 23.87               |
| Avg. stake amount     | 100.000 USDT        |
| Total trade volume    | 871200.000 USDT     |
|                       |                     |
| Best Pair             | ANKR/USDT 106.64%   |
| Worst Pair            | FLM/USDT -60.1%     |
| Best trade            | ANKR/USDT 5.0%      |
| Worst trade           | CHR/USDT -30.14%    |
| Best day              | 121.742 USDT        |
| Worst day             | -355.040 USDT       |
| Days win/draw/lose    | 285 / 0 / 81        |
| Avg. Duration Winners | 11:43:00            |
| Avg. Duration Loser   | 4 days, 19:00:00    |
|                       |                     |
| Min balance           | 1001.443 USDT       |
| Max balance           | 5635.618 USDT       |
| Drawdown              | 847.22%             |
| Drawdown              | 848.067 USDT        |
| Drawdown high         | 1894.152 USDT       |
| Drawdown low          | 1046.085 USDT       |
| Drawdown Start        | 2020-09-02 09:55:00 |
| Drawdown End          | 2020-10-07 02:00:00 |
| Market change         | 1156.4%             |
===============================================

