Result for strategy Strategy002
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|    UTK/USDT |     17 |           0.19 |           3.30 |             3.306 |           0.33 |          4:56:00 |     15 |       0 |        2 |
|    VET/USDT |     23 |           0.09 |           2.08 |             2.082 |           0.21 |          5:29:00 |     19 |       0 |        4 |
|   VITE/USDT |     36 |           0.18 |           6.47 |             6.475 |           0.65 |          8:23:00 |     30 |       0 |        6 |
|   VTHO/USDT |     14 |           0.38 |           5.31 |             5.320 |           0.53 |          2:31:00 |     12 |       0 |        2 |
|    WAN/USDT |     37 |           1.05 |          38.73 |            38.770 |           3.88 |          3:53:00 |     34 |       0 |        3 |
|  WAVES/USDT |     20 |          -0.08 |          -1.67 |            -1.668 |          -0.17 |          8:04:00 |     16 |       0 |        4 |
|    WIN/USDT |     18 |          -0.29 |          -5.15 |            -5.158 |          -0.52 |          3:26:00 |     14 |       0 |        4 |
|   WING/USDT |     14 |          -2.58 |         -36.06 |           -36.097 |          -3.61 |          4:26:00 |      9 |       0 |        5 |
|   WNXM/USDT |     26 |          -0.53 |         -13.68 |           -13.691 |          -1.37 |          4:22:00 |     20 |       0 |        6 |
|    WRX/USDT |     19 |          -0.08 |          -1.53 |            -1.533 |          -0.15 |          5:32:00 |     16 |       0 |        3 |
|    WTC/USDT |     25 |           1.08 |          27.02 |            27.047 |           2.70 |          4:47:00 |     23 |       0 |        2 |
|    XEM/USDT |      8 |           1.47 |          11.76 |            11.770 |           1.18 |          6:19:00 |      7 |       0 |        1 |
|    XLM/USDT |     18 |           0.81 |          14.62 |            14.637 |           1.46 |          6:55:00 |     16 |       0 |        2 |
|    XMR/USDT |     34 |           0.52 |          17.83 |            17.844 |           1.78 |          4:08:00 |     31 |       0 |        3 |
|    XRP/USDT |     18 |           0.63 |          11.33 |            11.339 |           1.13 |         14:37:00 |     15 |       0 |        3 |
|    XTZ/USDT |     21 |           0.31 |           6.57 |             6.576 |           0.66 |          4:53:00 |     19 |       0 |        2 |
|    XVS/USDT |     15 |           0.51 |           7.67 |             7.674 |           0.77 |          3:13:00 |     12 |       0 |        3 |
|    YFI/USDT |     14 |           1.26 |          17.64 |            17.657 |           1.77 |          1:38:00 |     12 |       0 |        2 |
|   YFII/USDT |      8 |          -0.31 |          -2.50 |            -2.506 |          -0.25 |          5:08:00 |      7 |       0 |        1 |
|    ZEC/USDT |     19 |           0.49 |           9.32 |             9.327 |           0.93 |          7:16:00 |     17 |       0 |        2 |
|    ZEN/USDT |     19 |           0.08 |           1.57 |             1.576 |           0.16 |          7:19:00 |     17 |       0 |        2 |
|    ZIL/USDT |     17 |           0.79 |          13.38 |            13.396 |           1.34 |          8:12:00 |     16 |       0 |        1 |
|    ZRX/USDT |     25 |           0.55 |          13.77 |            13.786 |           1.38 |         14:05:00 |     22 |       0 |        3 |
|       TOTAL |   3663 |           0.28 |        1027.44 |          1028.470 |         102.85 |          7:01:00 |   3133 |       0 |      530 |
====================================================== SELL REASON STATS =======================================================
