Result for strategy MACDStrategy
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|  PAXG/USDT |      1 |          -0.45 |          -0.45 |            -0.446 |          -0.04 |        13:15:00 |      0 |       0 |        1 |
|   PSG/USDT |      1 |           0.45 |           0.45 |             0.448 |           0.04 |         0:35:00 |      1 |       0 |        0 |
|  QTUM/USDT |      1 |          -2.98 |          -2.98 |            -2.978 |          -0.30 |         1:10:00 |      0 |       0 |        1 |
|   RIF/USDT |      1 |          -0.23 |          -0.23 |            -0.231 |          -0.02 |         0:15:00 |      0 |       0 |        1 |
|  STMX/USDT |      1 |          -2.30 |          -2.30 |            -2.301 |          -0.23 |  1 day, 0:50:00 |      0 |       0 |        1 |
| STRAX/USDT |      1 |          -0.60 |          -0.60 |            -0.597 |          -0.06 |         2:30:00 |      0 |       0 |        1 |
|  SUSD/USDT |      1 |          -0.31 |          -0.31 |            -0.309 |          -0.03 |         4:35:00 |      0 |       0 |        1 |
| TFUEL/USDT |      1 |          -4.55 |          -4.55 |            -4.555 |          -0.46 |        10:40:00 |      0 |       0 |        1 |
| THETA/USDT |      1 |          -5.75 |          -5.75 |            -5.757 |          -0.58 |         5:40:00 |      0 |       0 |        1 |
|  VITE/USDT |      1 |          -0.66 |          -0.66 |            -0.661 |          -0.07 |         0:05:00 |      0 |       0 |        1 |
|      TOTAL |     19 |          -2.03 |         -38.58 |           -38.621 |          -3.86 |         6:14:00 |      2 |       0 |       17 |
=============== SUMMARY METRICS ===============
| Metric                | Value               |
|-----------------------+---------------------|
| Backtesting from      | 2020-03-26 00:00:00 |
| Backtesting to        | 2021-03-26 11:40:00 |
| Max open trades       | 25                  |
|                       |                     |
| Total trades          | 26114               |
| Starting balance      | 1000.000 USDT       |
| Final balance         | 7313.643 USDT       |
| Absolute profit       | 6313.643 USDT       |
| Total profit %        | 631.36%             |
| Trades per day        | 71.55               |
| Avg. stake amount     | 100.000 USDT        |
| Total trade volume    | 2611400.000 USDT    |
|                       |                     |
| Best Pair             | COS/USDT 164.84%    |
| Worst Pair            | BZRX/USDT -109.3%   |
| Best trade            | STPT/USDT 5.0%      |
| Worst trade           | THETA/USDT -30.14%  |
| Best day              | 257.025 USDT        |
| Worst day             | -336.303 USDT       |
| Days win/draw/lose    | 249 / 0 / 117       |
| Avg. Duration Winners | 3:43:00             |
| Avg. Duration Loser   | 19:04:00            |
|                       |                     |
| Min balance           | 1003.000 USDT       |
| Max balance           | 7622.883 USDT       |
| Drawdown              | 1514.0%             |
| Drawdown              | 1515.509 USDT       |
| Drawdown high         | 2280.628 USDT       |
| Drawdown low          | 765.118 USDT        |
| Drawdown Start        | 2020-08-18 08:40:00 |
| Drawdown End          | 2020-11-04 20:05:00 |
| Market change         | 1156.4%             |
===============================================

