Result for strategy CombinedBinHAndCluc
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|    UNI/USDT |     59 |           0.46 |          27.12 |            27.149 |           2.71 |        1:39:00 |     42 |       0 |       17 |
|    UTK/USDT |     54 |           0.66 |          35.91 |            35.945 |           3.59 |        1:30:00 |     39 |       0 |       15 |
|    VET/USDT |     39 |           0.75 |          29.41 |            29.442 |           2.94 |        1:10:00 |     26 |       0 |       13 |
|   VITE/USDT |    134 |           0.13 |          17.93 |            17.943 |           1.79 |        1:20:00 |     93 |       0 |       41 |
|   VTHO/USDT |    129 |           0.22 |          28.02 |            28.046 |           2.80 |        1:06:00 |     86 |       0 |       43 |
|    WAN/USDT |     67 |          -0.25 |         -16.51 |           -16.522 |          -1.65 |        1:38:00 |     43 |       0 |       24 |
|  WAVES/USDT |     39 |           1.05 |          41.06 |            41.104 |           4.11 |        1:00:00 |     29 |       0 |       10 |
|    WIN/USDT |     35 |          -0.33 |         -11.40 |           -11.415 |          -1.14 |        0:51:00 |     17 |       0 |       18 |
|   WING/USDT |    178 |          -0.17 |         -30.85 |           -30.884 |          -3.09 |        1:20:00 |    103 |       0 |       75 |
|   WNXM/USDT |     69 |          -0.39 |         -27.24 |           -27.266 |          -2.73 |        1:19:00 |     39 |       0 |       30 |
|    WRX/USDT |     56 |           0.96 |          53.51 |            53.560 |           5.36 |        1:09:00 |     43 |       0 |       13 |
|    WTC/USDT |     68 |           0.32 |          21.82 |            21.841 |           2.18 |        1:13:00 |     46 |       0 |       22 |
|    XEM/USDT |     46 |           0.03 |           1.24 |             1.238 |           0.12 |        1:11:00 |     28 |       0 |       18 |
|    XLM/USDT |     47 |           1.26 |          59.13 |            59.191 |           5.92 |        1:06:00 |     36 |       0 |       11 |
|    XMR/USDT |      7 |          -1.14 |          -8.01 |            -8.023 |          -0.80 |        1:21:00 |      3 |       0 |        4 |
|    XRP/USDT |     79 |          -0.65 |         -51.36 |           -51.414 |          -5.14 |        0:53:00 |     41 |       0 |       38 |
|    XTZ/USDT |     21 |           0.17 |           3.67 |             3.674 |           0.37 |        1:03:00 |     16 |       0 |        5 |
|    XVS/USDT |    158 |          -0.24 |         -38.06 |           -38.095 |          -3.81 |        1:00:00 |     99 |       0 |       59 |
|    YFI/USDT |    127 |          -0.47 |         -59.70 |           -59.760 |          -5.98 |        1:01:00 |     71 |       0 |       56 |
|   YFII/USDT |    104 |           0.17 |          18.04 |            18.057 |           1.81 |        1:05:00 |     67 |       0 |       37 |
|    ZEC/USDT |     19 |           0.44 |           8.42 |             8.431 |           0.84 |        0:53:00 |     14 |       0 |        5 |
|    ZEN/USDT |     70 |           0.73 |          50.92 |            50.968 |           5.10 |        1:28:00 |     55 |       0 |       15 |
|    ZIL/USDT |     67 |           0.05 |           3.31 |             3.314 |           0.33 |        1:17:00 |     40 |       0 |       27 |
|    ZRX/USDT |     42 |           0.08 |           3.17 |             3.175 |           0.32 |        1:14:00 |     28 |       0 |       14 |
|       TOTAL |  17668 |           0.17 |        2994.61 |          2997.600 |         299.76 |        1:19:00 |  11579 |       0 |     6089 |
====================================================== SELL REASON STATS =======================================================
|   Sell Reason |   Sells |   Wins |   Draws |   Losses |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------+---------+----------+----------------+----------------+-------------------+----------------|
|   sell_signal |   11919 |   9785 |       0 |     2134 |           1.22 |        14558.1 |          14572.7  |         582.32 |
|     stop_loss |    3955 |      0 |       0 |     3955 |          -5.19 |       -20525.7 |         -20546.2  |        -821.03 |
|           roi |    1794 |   1794 |       0 |        0 |           5    |         8962.2 |           8971.17 |         358.49 |
======================================================== LEFT OPEN TRADES REPORT ========================================================
|   Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|--------+--------+----------------+----------------+-------------------+----------------+----------------+--------+---------+----------|
|  TOTAL |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |      0 |       0 |        0 |
=============== SUMMARY METRICS ===============
| Metric                | Value               |
|-----------------------+---------------------|
| Backtesting from      | 2020-03-26 00:00:00 |
| Backtesting to        | 2021-03-26 11:40:00 |
| Max open trades       | 25                  |
|                       |                     |
| Total trades          | 17668               |
| Starting balance      | 1000.000 USDT       |
| Final balance         | 3997.600 USDT       |
| Absolute profit       | 2997.600 USDT       |
| Total profit %        | 299.76%             |
| Trades per day        | 48.41               |
| Avg. stake amount     | 100.000 USDT        |
| Total trade volume    | 1766800.000 USDT    |
|                       |                     |
| Best Pair             | DENT/USDT 141.61%   |
| Worst Pair            | SUSHI/USDT -169.91% |
| Best trade            | DNT/USDT 6.16%      |
| Worst trade           | BAND/USDT -5.19%    |
| Best day              | 169.374 USDT        |
| Worst day             | -303.123 USDT       |
| Days win/draw/lose    | 246 / 1 / 119       |
| Avg. Duration Winners | 0:58:00             |
| Avg. Duration Loser   | 2:00:00             |
|                       |                     |
| Min balance           | 642.299 USDT        |
| Max balance           | 3997.600 USDT       |
| Drawdown              | 1283.52%            |
| Drawdown              | 1284.804 USDT       |
| Drawdown high         | 927.103 USDT        |
| Drawdown low          | -357.701 USDT       |
| Drawdown Start        | 2020-09-01 01:50:00 |
| Drawdown End          | 2020-11-07 19:35:00 |
| Market change         | 1156.4%             |
===============================================

