Result for strategy AdxSmas
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|    ZEN/USDT |     27 |           2.28 |          61.46 |            61.518 |           6.15 |         22:04:00 |     14 |       0 |       13 |
|    ZIL/USDT |     26 |          -0.31 |          -8.01 |            -8.016 |          -0.80 |         22:12:00 |     12 |       0 |       14 |
|    ZRX/USDT |     18 |          -0.17 |          -3.01 |            -3.009 |          -0.30 |   1 day, 6:40:00 |      8 |       0 |       10 |
|       TOTAL |   5742 |           0.45 |        2582.66 |          2585.243 |         258.52 |         21:54:00 |   2683 |       0 |     3059 |
====================================================== SELL REASON STATS =======================================================
|   Sell Reason |   Sells |   Wins |   Draws |   Losses |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------+---------+----------+----------------+----------------+-------------------+----------------|
|   sell_signal |    3970 |   1042 |       0 |     2928 |          -2.69 |      -10662.2  |         -10672.9  |        -426.49 |
|           roi |    1632 |   1632 |       0 |        0 |           9.99 |       16303.7  |          16320    |         652.15 |
|     stop_loss |     118 |      0 |       0 |      118 |         -25.15 |       -2967.68 |          -2970.65 |        -118.71 |
|    force_sell |      22 |      9 |       0 |       13 |          -4.14 |         -91.15 |            -91.24 |          -3.65 |
=========================================================== LEFT OPEN TRADES REPORT ===========================================================
|       Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|------------+--------+----------------+----------------+-------------------+----------------+------------------+--------+---------+----------|
|  AAVE/USDT |      1 |           1.21 |           1.21 |             1.206 |           0.12 | 2 days, 20:00:00 |      1 |       0 |        0 |
|   ACM/USDT |      1 |          -5.00 |          -5.00 |            -5.006 |          -0.50 |  1 day, 19:00:00 |      0 |       0 |        1 |
|  ALGO/USDT |      1 |           5.67 |           5.67 |             5.671 |           0.57 |   1 day, 5:00:00 |      1 |       0 |        0 |
| ALPHA/USDT |      1 |          -1.99 |          -1.99 |            -1.994 |          -0.20 |         23:00:00 |      0 |       0 |        1 |
|  ARDR/USDT |      1 |         -10.68 |         -10.68 |           -10.687 |          -1.07 |  2 days, 1:00:00 |      0 |       0 |        1 |
|  ATOM/USDT |      1 |           0.03 |           0.03 |             0.034 |           0.00 |         23:00:00 |      1 |       0 |        0 |
|  BAND/USDT |      1 |           6.02 |           6.02 |             6.023 |           0.60 |         16:00:00 |      1 |       0 |        0 |
|   BCH/USDT |      1 |          -0.60 |          -0.60 |            -0.602 |          -0.06 |          4:00:00 |      0 |       0 |        1 |
|   BLZ/USDT |      1 |           1.14 |           1.14 |             1.139 |           0.11 |          3:00:00 |      1 |       0 |        0 |
|  DOCK/USDT |      1 |         -11.16 |         -11.16 |           -11.174 |          -1.12 |  1 day, 23:00:00 |      0 |       0 |        1 |
|  DUSK/USDT |      1 |         -10.71 |         -10.71 |           -10.716 |          -1.07 | 2 days, 12:00:00 |      0 |       0 |        1 |
|   ETH/USDT |      1 |           1.29 |           1.29 |             1.292 |           0.13 |         18:00:00 |      1 |       0 |        0 |
|   GRT/USDT |      1 |         -16.00 |         -16.00 |           -16.021 |          -1.60 | 4 days, 17:00:00 |      0 |       0 |        1 |
|   GXS/USDT |      1 |          -5.87 |          -5.87 |            -5.875 |          -0.59 |  1 day, 16:00:00 |      0 |       0 |        1 |
|   JUV/USDT |      1 |           4.74 |           4.74 |             4.749 |           0.47 |         11:00:00 |      1 |       0 |        0 |
|  LINK/USDT |      1 |           0.80 |           0.80 |             0.800 |           0.08 |         18:00:00 |      1 |       0 |        0 |
|  MANA/USDT |      1 |          -6.90 |          -6.90 |            -6.903 |          -0.69 |  1 day, 17:00:00 |      0 |       0 |        1 |
| MATIC/USDT |      1 |          -8.83 |          -8.83 |            -8.838 |          -0.88 |  1 day, 15:00:00 |      0 |       0 |        1 |
|  MITH/USDT |      1 |         -10.07 |         -10.07 |           -10.082 |          -1.01 |  1 day, 19:00:00 |      0 |       0 |        1 |
|  NULS/USDT |      1 |         -15.27 |         -15.27 |           -15.284 |          -1.53 |  1 day, 18:00:00 |      0 |       0 |        1 |
|   OMG/USDT |      1 |         -10.56 |         -10.56 |           -10.570 |          -1.06 |  1 day, 17:00:00 |      0 |       0 |        1 |
|   PSG/USDT |      1 |           1.60 |           1.60 |             1.598 |           0.16 |         12:00:00 |      1 |       0 |        0 |
|      TOTAL |     22 |          -4.14 |         -91.15 |           -91.240 |          -9.12 |  1 day, 11:35:00 |      9 |       0 |       13 |
=============== SUMMARY METRICS ===============
| Metric                | Value               |
|-----------------------+---------------------|
| Backtesting from      | 2020-03-26 00:00:00 |
| Backtesting to        | 2021-03-26 10:00:00 |
| Max open trades       | 25                  |
|                       |                     |
| Total trades          | 5742                |
| Starting balance      | 1000.000 USDT       |
| Final balance         | 3585.243 USDT       |
| Absolute profit       | 2585.243 USDT       |
| Total profit %        | 258.52%             |
| Trades per day        | 15.73               |
| Avg. stake amount     | 100.000 USDT        |
| Total trade volume    | 574200.000 USDT     |
|                       |                     |
| Best Pair             | AXS/USDT 139.75%    |
| Worst Pair            | NKN/USDT -103.56%   |
| Best trade            | MTL/USDT 9.99%      |
| Worst trade           | TOMO/USDT -25.15%   |
| Best day              | 253.077 USDT        |
| Worst day             | -476.604 USDT       |
| Days win/draw/lose    | 212 / 0 / 153       |
| Avg. Duration Winners | 18:18:00            |
| Avg. Duration Loser   | 1 day, 1:03:00      |
|                       |                     |
| Min balance           | 889.308 USDT        |
| Max balance           | 4033.277 USDT       |
| Drawdown              | 1396.59%            |
| Drawdown              | 1397.988 USDT       |
| Drawdown high         | 1287.296 USDT       |
| Drawdown low          | -110.692 USDT       |
| Drawdown Start        | 2020-08-19 02:00:00 |
| Drawdown End          | 2020-11-05 09:00:00 |
| Market change         | 1171.69%            |
===============================================

