Result for strategy BinHV27
============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|   FIRO/USDT |     18 |           0.28 |           4.95 |             4.955 |           0.50 |        5:51:00 |      9 |       0 |        9 |
|    FIS/USDT |     10 |           1.30 |          13.04 |            13.052 |           1.31 |        3:26:00 |      9 |       0 |        1 |
|    FLM/USDT |     64 |          -0.41 |         -26.52 |           -26.549 |          -2.65 |        4:46:00 |     34 |       0 |       30 |
|    FTM/USDT |    131 |           0.11 |          15.01 |            15.023 |           1.50 |        4:58:00 |     74 |       0 |       57 |
|    FTT/USDT |    153 |          -0.21 |         -31.97 |           -32.002 |          -3.20 |        4:03:00 |     85 |       0 |       68 |
|    FUN/USDT |    215 |           0.56 |         120.92 |           121.043 |          12.10 |        3:32:00 |    155 |       0 |       60 |
|    GRT/USDT |     24 |           1.67 |          40.05 |            40.085 |           4.01 |        4:24:00 |     16 |       0 |        8 |
|    GTO/USDT |    219 |           0.44 |          95.63 |            95.725 |           9.57 |        3:29:00 |    145 |       0 |       74 |
|    GXS/USDT |    113 |          -0.06 |          -7.08 |            -7.087 |          -0.71 |        4:28:00 |     66 |       0 |       47 |
|   HARD/USDT |     75 |           0.25 |          18.63 |            18.651 |           1.87 |        4:14:00 |     50 |       0 |       25 |
|   HBAR/USDT |     58 |           1.03 |          59.80 |            59.859 |           5.99 |        3:55:00 |     40 |       0 |       18 |
|   HIVE/USDT |    104 |           0.06 |           6.42 |             6.431 |           0.64 |        3:52:00 |     63 |       0 |       41 |
|    HNT/USDT |     66 |          -0.07 |          -4.39 |            -4.399 |          -0.44 |        5:18:00 |     34 |       0 |       32 |
|    HOT/USDT |     57 |           1.12 |          63.66 |            63.723 |           6.37 |        4:44:00 |     38 |       0 |       19 |
|    ICX/USDT |    100 |           0.31 |          31.22 |            31.251 |           3.13 |        4:35:00 |     64 |       0 |       36 |
|    INJ/USDT |     76 |           1.11 |          84.41 |            84.498 |           8.45 |        3:57:00 |     52 |       0 |       24 |
|   IOST/USDT |    101 |           0.06 |           5.62 |             5.629 |           0.56 |        4:27:00 |     68 |       0 |       33 |
|   IOTA/USDT |    106 |           0.21 |          22.02 |            22.045 |           2.20 |        5:30:00 |     64 |       0 |       42 |
|   IOTX/USDT |    201 |          -0.05 |         -10.73 |           -10.741 |          -1.07 |        5:01:00 |    117 |       0 |       84 |
|   IRIS/USDT |     63 |           0.62 |          39.01 |            39.046 |           3.90 |        4:11:00 |     40 |       0 |       23 |
|    JST/USDT |     79 |          -0.73 |         -57.85 |           -57.910 |          -5.79 |        5:08:00 |     43 |       0 |       36 |
|    JUV/USDT |     17 |           0.90 |          15.25 |            15.268 |           1.53 |        4:54:00 |      9 |       0 |        8 |
|   KAVA/USDT |    150 |           0.37 |          55.66 |            55.715 |           5.57 |        4:59:00 |     93 |       0 |       57 |
|    KEY/USDT |    146 |           0.29 |          41.84 |            41.881 |           4.19 |        4:14:00 |     89 |       0 |       57 |
