Result for strategy Quickie
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|    ONT/USDT |     17 |          -0.42 |          -7.17 |            -7.175 |          -0.72 |  1 day, 16:34:00 |     16 |       0 |        1 |
|    ORN/USDT |     55 |           1.14 |          62.93 |            62.996 |           6.30 |          6:47:00 |     54 |       0 |        1 |
|    OXT/USDT |     47 |           1.45 |          68.26 |            68.329 |           6.83 |          3:52:00 |     47 |       0 |        0 |
|   PAXG/USDT |     23 |           0.50 |          11.39 |            11.404 |           1.14 | 6 days, 12:41:00 |     21 |       0 |        2 |
|   PERL/USDT |     78 |           0.70 |          54.27 |            54.325 |           5.43 |         13:55:00 |     76 |       0 |        2 |
|   PERP/USDT |      6 |           1.33 |           7.99 |             8.000 |           0.80 |          2:18:00 |      6 |       0 |        0 |
|    PNT/USDT |     54 |           0.33 |          17.98 |            17.997 |           1.80 |         12:58:00 |     52 |       0 |        2 |
|   POND/USDT |      1 |           1.00 |           1.00 |             1.000 |           0.10 |          2:35:00 |      1 |       0 |        0 |
|    PSG/USDT |     23 |           1.10 |          25.22 |            25.245 |           2.52 |         13:10:00 |     23 |       0 |        0 |
|   QTUM/USDT |     24 |           0.12 |           2.87 |             2.877 |           0.29 |         23:34:00 |     23 |       0 |        1 |
|   RAMP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |      0 |       0 |        0 |
|   REEF/USDT |     21 |           0.37 |           7.82 |             7.825 |           0.78 |          6:11:00 |     20 |       0 |        1 |
|    REN/USDT |     57 |           1.25 |          71.35 |            71.419 |           7.14 |         20:05:00 |     57 |       0 |        0 |
|    REP/USDT |     34 |           1.36 |          46.15 |            46.198 |           4.62 |         14:31:00 |     34 |       0 |        0 |
|    RIF/USDT |     23 |           0.69 |          15.93 |            15.951 |           1.60 |          4:18:00 |     22 |       0 |        1 |
|    RLC/USDT |     60 |           0.33 |          19.99 |            20.011 |           2.00 |         14:14:00 |     58 |       0 |        2 |
|   ROSE/USDT |     33 |           1.71 |          56.35 |            56.406 |           5.64 |         14:06:00 |     33 |       0 |        0 |
|    RSR/USDT |     28 |           0.68 |          18.93 |            18.945 |           1.89 |          4:34:00 |     27 |       0 |        1 |
|   RUNE/USDT |     36 |          -0.13 |          -4.79 |            -4.796 |          -0.48 |         13:27:00 |     34 |       0 |        2 |
|    RVN/USDT |     26 |           0.29 |           7.66 |             7.671 |           0.77 |         15:32:00 |     25 |       0 |        1 |
|   SAND/USDT |     48 |           0.80 |          38.61 |            38.652 |           3.87 |          9:10:00 |     46 |       0 |        2 |
|     SC/USDT |     43 |           0.09 |           3.97 |             3.974 |           0.40 |         21:04:00 |     40 |       0 |        3 |
|    SFP/USDT |     13 |           1.21 |          15.73 |            15.750 |           1.58 |          3:34:00 |     13 |       0 |        0 |
|    SKL/USDT |     32 |           0.94 |          29.98 |            30.008 |           3.00 |          6:04:00 |     31 |       0 |        1 |
|    SNX/USDT |     40 |           0.64 |          25.56 |            25.587 |           2.56 |         21:36:00 |     39 |       0 |        1 |
|    SOL/USDT |     44 |           0.76 |          33.34 |            33.378 |           3.34 |         10:27:00 |     43 |       0 |        1 |
|    SRM/USDT |     26 |          -0.39 |         -10.09 |           -10.102 |          -1.01 |   1 day, 8:17:00 |     24 |       0 |        2 |
|   STMX/USDT |     32 |          -0.36 |         -11.47 |           -11.483 |          -1.15 |   1 day, 9:28:00 |     30 |       0 |        2 |
|  STORJ/USDT |     29 |           1.27 |          36.79 |            36.828 |           3.68 |          7:36:00 |     29 |       0 |        0 |
|   STPT/USDT |     63 |           0.93 |          58.43 |            58.492 |           5.85 |         18:17:00 |     61 |       0 |        2 |
|  STRAX/USDT |     35 |           1.44 |          50.48 |            50.528 |           5.05 |          9:46:00 |     35 |       0 |        0 |
|    STX/USDT |     74 |           0.33 |          24.38 |            24.408 |           2.44 |   1 day, 0:01:00 |     71 |       0 |        3 |
|    SUN/USDT |     38 |           0.53 |          20.23 |            20.254 |           2.03 |         17:29:00 |     36 |       0 |        2 |
|  SUPER/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |      0 |       0 |        0 |
|   SUSD/USDT |     18 |           0.94 |          16.99 |            17.010 |           1.70 | 3 days, 17:21:00 |     18 |       0 |        0 |
|  SUSHI/USDT |     21 |          -2.31 |         -48.50 |           -48.548 |          -4.85 |         20:02:00 |     18 |       0 |        3 |
|    SXP/USDT |     27 |          -1.17 |         -31.70 |           -31.729 |          -3.17 |         23:30:00 |     24 |       0 |        3 |
|    TCT/USDT |     79 |           0.95 |          74.76 |            74.836 |           7.48 |         10:18:00 |     75 |       0 |        4 |
