Result for strategy ADXMomentum
============================================================== BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Wins |   Draws |   Losses |
|    PNT/USDT |     62 |          -0.44 |         -27.42 |           -27.446 |          -2.74 |         6:38:00 |     57 |       0 |        5 |
|   POND/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |      0 |       0 |        0 |
|    PSG/USDT |     15 |          -1.94 |         -29.05 |           -29.076 |          -2.91 |        16:08:00 |     12 |       0 |        3 |
|   QTUM/USDT |     58 |          -0.53 |         -30.69 |           -30.725 |          -3.07 |         7:47:00 |     51 |       0 |        7 |
|   RAMP/USDT |      2 |         -12.08 |         -24.15 |           -24.175 |          -2.42 |         5:30:00 |      1 |       0 |        1 |
|   REEF/USDT |     20 |           1.00 |          19.98 |            20.000 |           2.00 |         1:06:00 |     20 |       0 |        0 |
|    REN/USDT |     87 |          -0.22 |         -19.46 |           -19.477 |          -1.95 |         5:48:00 |     79 |       0 |        8 |
|    REP/USDT |     52 |          -0.88 |         -45.76 |           -45.810 |          -4.58 |         4:37:00 |     45 |       0 |        7 |
|    RIF/USDT |      5 |           1.00 |           5.00 |             5.000 |           0.50 |         1:12:00 |      5 |       0 |        0 |
|    RLC/USDT |     79 |           0.07 |           5.47 |             5.478 |           0.55 |         6:53:00 |     74 |       0 |        5 |
|   ROSE/USDT |     16 |          -0.64 |         -10.16 |           -10.175 |          -1.02 |         3:19:00 |     15 |       0 |        1 |
|    RSR/USDT |     28 |          -0.68 |         -19.00 |           -19.022 |          -1.90 |         6:00:00 |     26 |       0 |        2 |
|   RUNE/USDT |     31 |           1.00 |          30.97 |            31.000 |           3.10 |         0:35:00 |     31 |       0 |        0 |
|    RVN/USDT |     53 |           0.02 |           0.90 |             0.900 |           0.09 |         6:18:00 |     47 |       0 |        6 |
|   SAND/USDT |     49 |          -1.66 |         -81.40 |           -81.481 |          -8.15 |         9:55:00 |     43 |       0 |        6 |
|     SC/USDT |     45 |          -0.32 |         -14.62 |           -14.631 |          -1.46 |         4:37:00 |     40 |       0 |        5 |
|    SFP/USDT |      4 |           1.00 |           4.00 |             4.000 |           0.40 |         7:45:00 |      4 |       0 |        0 |
|    SKL/USDT |     19 |          -1.44 |         -27.30 |           -27.329 |          -2.73 |         4:35:00 |     17 |       0 |        2 |
|    SNX/USDT |     74 |           0.90 |          66.80 |            66.869 |           6.69 |         1:53:00 |     73 |       0 |        1 |
|    SOL/USDT |     46 |          -0.25 |         -11.47 |           -11.479 |          -1.15 |         5:29:00 |     42 |       0 |        4 |
|    SRM/USDT |     55 |           0.52 |          28.80 |            28.825 |           2.88 |         4:52:00 |     54 |       0 |        1 |
|   STMX/USDT |     59 |           0.85 |          50.20 |            50.250 |           5.03 |         3:47:00 |     58 |       0 |        1 |
|  STORJ/USDT |     51 |          -1.10 |         -56.17 |           -56.225 |          -5.62 |         8:19:00 |     46 |       0 |        5 |
|   STPT/USDT |     88 |           0.07 |           6.05 |             6.053 |           0.61 |         8:10:00 |     79 |       0 |        9 |
|  STRAX/USDT |     24 |          -0.65 |         -15.70 |           -15.711 |          -1.57 |         2:35:00 |     22 |       0 |        2 |
|    STX/USDT |     95 |           0.18 |          17.50 |            17.515 |           1.75 |         7:26:00 |     88 |       0 |        7 |
|    SUN/USDT |     30 |          -0.14 |          -4.07 |            -4.074 |          -0.41 |         8:18:00 |     26 |       0 |        4 |
|  SUPER/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |      0 |       0 |        0 |
|   SUSD/USDT |     12 |           0.60 |           7.20 |             7.211 |           0.72 | 2 days, 9:45:00 |     10 |       0 |        2 |
|  SUSHI/USDT |     27 |           1.00 |          26.97 |            27.000 |           2.70 |         1:44:00 |     27 |       0 |        0 |
|    SXP/USDT |     33 |          -0.53 |         -17.47 |           -17.489 |          -1.75 |         9:25:00 |     29 |       0 |        4 |
|    TCT/USDT |     93 |           0.28 |          26.22 |            26.243 |           2.62 |         8:33:00 |     88 |       0 |        5 |
|  TFUEL/USDT |    184 |           0.22 |          41.27 |            41.312 |           4.13 |         5:19:00 |    174 |       0 |       10 |
|  THETA/USDT |    110 |           0.87 |          95.52 |            95.620 |           9.56 |         5:43:00 |    109 |       0 |        1 |
|   TOMO/USDT |     78 |           0.33 |          25.90 |            25.928 |           2.59 |         7:05:00 |     74 |       0 |        4 |
|    TRB/USDT |     13 |          -1.81 |         -23.49 |           -23.513 |          -2.35 |         6:55:00 |     11 |       0 |        2 |
|   TROY/USDT |     88 |          -0.12 |         -10.26 |           -10.270 |          -1.03 |         9:29:00 |     80 |       0 |        8 |
|    TRU/USDT |      2 |           1.00 |           2.00 |             2.000 |           0.20 |        20:00:00 |      2 |       0 |        0 |
|    TRX/USDT |     50 |           0.07 |           3.32 |             3.321 |           0.33 |         5:24:00 |     45 |       0 |        5 |
|    TWT/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |      0 |       0 |        0 |
|    UMA/USDT |     43 |          -0.55 |         -23.62 |           -23.645 |          -2.36 |         4:42:00 |     40 |       0 |        3 |
|   UNFI/USDT |     46 |           1.00 |          45.95 |            46.000 |           4.60 |         0:35:00 |     46 |       0 |        0 |
|    UNI/USDT |     31 |           0.70 |          21.78 |            21.806 |           2.18 |         7:02:00 |     30 |       0 |        1 |
|    UTK/USDT |     29 |           0.33 |           9.49 |             9.501 |           0.95 |         9:12:00 |     27 |       0 |        2 |
|    VET/USDT |     57 |           0.02 |           1.27 |             1.267 |           0.13 |         9:02:00 |     52 |       0 |        5 |
|   VITE/USDT |     91 |           0.15 |          13.47 |            13.486 |           1.35 |         7:36:00 |     85 |       0 |        6 |
|   VTHO/USDT |     27 |          -0.86 |         -23.26 |           -23.283 |          -2.33 |         7:09:00 |     25 |       0 |        2 |
|    WAN/USDT |     82 |           0.00 |           0.21 |             0.205 |           0.02 |         9:26:00 |     74 |       0 |        8 |
|  WAVES/USDT |     98 |          -0.14 |         -13.77 |           -13.782 |          -1.38 |        13:00:00 |     86 |       0 |       12 |
|    WIN/USDT |     44 |           0.18 |           7.93 |             7.943 |           0.79 |        13:41:00 |     40 |       0 |        4 |
