Result for strategy BbandRsi
=============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Wins |   Draws |   Losses |
|    ETC/USDT |     10 |           2.77 |          27.68 |            27.707 |           2.77 |   6 days, 9:24:00 |      7 |       0 |        3 |
|    ETH/USDT |      8 |           3.33 |          26.62 |            26.647 |           2.66 |   3 days, 7:00:00 |      5 |       0 |        3 |
|    FET/USDT |     10 |          -0.32 |          -3.19 |            -3.195 |          -0.32 |  4 days, 15:24:00 |      6 |       0 |        4 |
|    FIL/USDT |     10 |          -0.57 |          -5.71 |            -5.715 |          -0.57 |   4 days, 9:54:00 |      7 |       0 |        3 |
|    FIO/USDT |     11 |           2.46 |          27.05 |            27.082 |           2.71 |  2 days, 14:44:00 |      9 |       0 |        2 |
|   FIRO/USDT |      2 |           9.99 |          19.98 |            20.000 |           2.00 |   1 day, 23:00:00 |      2 |       0 |        0 |
|    FIS/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |      0 |       0 |        0 |
|    FLM/USDT |     10 |           3.37 |          33.73 |            33.768 |           3.38 |   3 days, 0:36:00 |      8 |       0 |        2 |
|    FTM/USDT |     15 |           3.16 |          47.38 |            47.428 |           4.74 |   3 days, 4:12:00 |     11 |       0 |        4 |
|    FTT/USDT |      9 |           4.31 |          38.82 |            38.859 |           3.89 |   5 days, 5:33:00 |      8 |       0 |        1 |
|    FUN/USDT |     15 |           3.13 |          46.99 |            47.035 |           4.70 |   4 days, 3:52:00 |     10 |       0 |        5 |
|    GRT/USDT |      1 |           2.25 |           2.25 |             2.254 |           0.23 |  2 days, 21:00:00 |      1 |       0 |        0 |
|    GTO/USDT |      9 |           1.58 |          14.25 |            14.261 |           1.43 |  2 days, 23:27:00 |      7 |       0 |        2 |
|    GXS/USDT |     15 |           2.57 |          38.54 |            38.574 |           3.86 |  3 days, 18:44:00 |     11 |       0 |        4 |
|   HARD/USDT |      6 |          -2.52 |         -15.13 |           -15.143 |          -1.51 |   2 days, 6:20:00 |      4 |       0 |        2 |
|   HBAR/USDT |      6 |           0.71 |           4.25 |             4.257 |           0.43 |  4 days, 23:50:00 |      3 |       0 |        3 |
|   HIVE/USDT |     11 |           1.70 |          18.65 |            18.668 |           1.87 |  2 days, 20:22:00 |      7 |       0 |        4 |
|    HNT/USDT |      7 |         -14.24 |         -99.65 |           -99.751 |          -9.98 |  3 days, 21:26:00 |      2 |       0 |        5 |
|    HOT/USDT |      9 |           2.67 |          23.99 |            24.014 |           2.40 |  3 days, 10:33:00 |      7 |       0 |        2 |
|    ICX/USDT |     10 |          -2.04 |         -20.40 |           -20.422 |          -2.04 |  3 days, 18:48:00 |      6 |       0 |        4 |
|    INJ/USDT |      5 |           8.47 |          42.34 |            42.378 |           4.24 |   2 days, 9:12:00 |      5 |       0 |        0 |
|   IOST/USDT |      7 |           7.00 |          49.00 |            49.044 |           4.90 |  2 days, 12:09:00 |      7 |       0 |        0 |
|   IOTA/USDT |     13 |           3.68 |          47.89 |            47.941 |           4.79 |   3 days, 5:28:00 |     11 |       0 |        2 |
|   IOTX/USDT |     10 |           7.17 |          71.66 |            71.729 |           7.17 |   1 day, 19:54:00 |      9 |       0 |        1 |
|   IRIS/USDT |      4 |          -1.81 |          -7.24 |            -7.244 |          -0.72 |  2 days, 18:15:00 |      2 |       0 |        2 |
|    JST/USDT |      8 |          -3.25 |         -25.98 |           -26.007 |          -2.60 |  2 days, 22:30:00 |      4 |       0 |        4 |
|    JUV/USDT |      7 |           3.36 |          23.49 |            23.512 |           2.35 |   1 day, 19:00:00 |      6 |       0 |        1 |
|   KAVA/USDT |      7 |           2.65 |          18.53 |            18.547 |           1.85 |   2 days, 9:09:00 |      5 |       0 |        2 |
|    KEY/USDT |     12 |           5.10 |          61.15 |            61.211 |           6.12 |  3 days, 12:40:00 |     10 |       0 |        2 |
|    KMD/USDT |      4 |           1.95 |           7.81 |             7.813 |           0.78 |   5 days, 2:45:00 |      3 |       0 |        1 |
|    KNC/USDT |      4 |          -1.34 |          -5.37 |            -5.375 |          -0.54 |  6 days, 16:00:00 |      2 |       0 |        2 |
|    KSM/USDT |      3 |          -3.39 |         -10.18 |           -10.192 |          -1.02 |   6 days, 3:20:00 |      2 |       0 |        1 |
