Result for strategy AverageStrategy
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|    WIN/USDT |      8 |          -2.05 |         -16.41 |           -16.427 |          -1.64 |  2 days, 9:30:00 |      2 |       0 |        6 |
|   WING/USDT |      7 |         -10.57 |         -73.97 |           -74.048 |          -7.40 |   1 day, 4:00:00 |      1 |       0 |        6 |
|   WNXM/USDT |      4 |          14.53 |          58.11 |            58.169 |           5.82 |  4 days, 4:00:00 |      3 |       0 |        1 |
|    WRX/USDT |      4 |           9.07 |          36.27 |            36.309 |           3.63 |  2 days, 1:00:00 |      1 |       0 |        3 |
|    WTC/USDT |      6 |           8.17 |          49.03 |            49.079 |           4.91 | 4 days, 15:20:00 |      3 |       0 |        3 |
|    XEM/USDT |      4 |          22.47 |          89.87 |            89.961 |           9.00 | 3 days, 11:00:00 |      2 |       0 |        2 |
|    XLM/USDT |      4 |          -2.52 |         -10.06 |           -10.071 |          -1.01 | 3 days, 23:00:00 |      1 |       0 |        3 |
|    XMR/USDT |     15 |           0.41 |           6.17 |             6.175 |           0.62 | 4 days, 12:16:00 |      5 |       0 |       10 |
|    XRP/USDT |      7 |          -4.23 |         -29.61 |           -29.636 |          -2.96 | 3 days, 13:43:00 |      2 |       0 |        5 |
|    XTZ/USDT |      7 |           1.17 |           8.17 |             8.176 |           0.82 |  3 days, 5:09:00 |      2 |       0 |        5 |
|    XVS/USDT |      6 |           3.16 |          18.95 |            18.964 |           1.90 |  2 days, 4:00:00 |      1 |       0 |        5 |
|    YFI/USDT |      2 |          22.55 |          45.11 |            45.154 |           4.52 |  3 days, 6:00:00 |      1 |       0 |        1 |
|   YFII/USDT |      2 |          -3.64 |          -7.27 |            -7.282 |          -0.73 |  1 day, 18:00:00 |      0 |       0 |        2 |
|    ZEC/USDT |      7 |          -3.34 |         -23.36 |           -23.387 |          -2.34 | 2 days, 10:51:00 |      1 |       0 |        6 |
|    ZEN/USDT |     10 |          -2.43 |         -24.32 |           -24.348 |          -2.43 | 2 days, 16:48:00 |      2 |       0 |        8 |
|    ZIL/USDT |      1 |          10.14 |          10.14 |            10.153 |           1.02 |  7 days, 8:00:00 |      1 |       0 |        0 |
|    ZRX/USDT |      4 |           7.03 |          28.10 |            28.130 |           2.81 |         13:00:00 |      1 |       0 |        3 |
|       TOTAL |   1600 |           3.27 |        5229.59 |          5234.821 |         523.48 | 2 days, 20:31:00 |    490 |       0 |     1110 |
====================================================== SELL REASON STATS =======================================================
|   Sell Reason |   Sells |   Wins |   Draws |   Losses |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------+---------+----------+----------------+----------------+-------------------+----------------|
|   sell_signal |    1365 |    295 |       0 |     1070 |          -2.56 |       -3501.03 |         -3504.53  |        -140.04 |
|           roi |     188 |    188 |       0 |        0 |          49.95 |        9390.61 |          9400     |         375.62 |
|     stop_loss |      39 |      0 |       0 |       39 |         -20.16 |        -786.23 |          -787.02  |         -31.45 |
|    force_sell |       8 |      7 |       0 |        1 |          15.78 |         126.25 |           126.371 |           5.05 |
=========================================================== LEFT OPEN TRADES REPORT ===========================================================
|       Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|------------+--------+----------------+----------------+-------------------+----------------+------------------+--------+---------+----------|
| AUDIO/USDT |      1 |          39.10 |          39.10 |            39.141 |           3.91 |  4 days, 0:00:00 |      1 |       0 |        0 |
|  CAKE/USDT |      1 |          19.04 |          19.04 |            19.060 |           1.91 |  4 days, 0:00:00 |      1 |       0 |        0 |
|  CTSI/USDT |      1 |           6.32 |           6.32 |             6.330 |           0.63 |          4:00:00 |      1 |       0 |        0 |
|   FIL/USDT |      1 |          12.34 |          12.34 |            12.356 |           1.24 |  2 days, 8:00:00 |      1 |       0 |        0 |
|   NBS/USDT |      1 |          -3.70 |          -3.70 |            -3.702 |          -0.37 |          8:00:00 |      0 |       0 |        1 |
|    OG/USDT |      1 |          15.78 |          15.78 |            15.795 |           1.58 |          8:00:00 |      1 |       0 |        0 |
|  QTUM/USDT |      1 |          33.81 |          33.81 |            33.843 |           3.38 |  2 days, 8:00:00 |      1 |       0 |        0 |
| STORJ/USDT |      1 |           3.55 |           3.55 |             3.549 |           0.35 | 2 days, 12:00:00 |      1 |       0 |        0 |
|      TOTAL |      8 |          15.78 |         126.25 |           126.371 |          12.64 |  2 days, 0:00:00 |      7 |       0 |        1 |
=============== SUMMARY METRICS ===============
| Metric                | Value               |
|-----------------------+---------------------|
| Backtesting from      | 2020-03-26 00:00:00 |
| Backtesting to        | 2021-03-26 04:00:00 |
| Max open trades       | 25                  |
|                       |                     |
| Total trades          | 1600                |
| Starting balance      | 1000.000 USDT       |
| Final balance         | 6234.821 USDT       |
| Absolute profit       | 5234.821 USDT       |
| Total profit %        | 523.48%             |
| Trades per day        | 4.38                |
| Avg. stake amount     | 100.000 USDT        |
| Total trade volume    | 160000.000 USDT     |
|                       |                     |
| Best Pair             | ANKR/USDT 206.38%   |
